"","...1","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year","nh4_n_avg"
"153",153,"Q3",100014118,1988-08-09,0.72,NA,2.96,3.13,5,1988,28.6
"154",154,"Q1",100012127,1988-08-16,0.84,NA,2.85,3.49,16,1988,15.5
"155",155,"Q2",100013123,1988-08-16,0.86,NA,2.88,3.9,14,1988,14
"156",156,"Q3",100014119,1988-08-16,0.69,NA,2.89,3.15,77,1988,25.1666666666667
"157",157,"Q1",100012129,1988-08-23,0.87,135,2.71,3.95,NA,1988,26
"158",158,"Q2",100013124,1988-08-23,0.73,NA,2.53,4.35,NA,1988,14
"159",159,"Q3",100014120,1988-08-23,0.66,NA,2.63,3.31,NA,1988,26.6
"160",160,"Q1",100012130,1988-08-24,0.76,8,0.86,1.23,NA,1988,26
"161",161,"Q1",100012134,1988-08-24,NA,7,NA,NA,NA,1988,26
"162",162,"Q1",100012131,1988-08-24,0.77,NA,NA,1.79,NA,1988,26
"163",163,"Q1",100012133,1988-08-24,0.48,11,0.47,0.75,NA,1988,26
"164",164,"Q1",100012132,1988-08-24,0.9,10,0.79,1.32,NA,1988,26
"165",165,"Q2",100013125,1988-08-24,0.81,70,1.8,3.44,11,1988,14
"166",166,"Q2",100013126,1988-08-24,0.87,238,1.14,2.75,NA,1988,14
"167",167,"Q2",100013127,1988-08-24,0.95,172,1.15,2.47,NA,1988,14
"168",168,"Q2",100013128,1988-08-24,0.82,133,0.55,1.04,NA,1988,14
"169",169,"Q2",100013129,1988-08-24,NA,NA,NA,NA,NA,1988,14
"170",170,"Q3",100014125,1988-08-24,NA,NA,NA,NA,NA,1988,26.6
"171",171,"Q3",100014122,1988-08-24,0.64,NA,1.51,2.09,24,1988,26.6
"172",172,"Q3",100014123,1988-08-24,0.58,NA,1.42,1.99,NA,1988,26.6
"173",173,"Q3",100014124,1988-08-24,0.45,85,0.67,0.91,NA,1988,26.6
"174",174,"Q3",100014121,1988-08-24,0.58,NA,2,2.48,NA,1988,26.6
"175",175,"Q1",100012135,1988-08-30,0.78,150,2.62,3.29,NA,1988,26
"176",176,"Q2",100013130,1988-08-30,0.69,241,2.43,4.92,NA,1988,14.75
"177",177,"Q3",100014126,1988-08-30,0.57,151,2.49,3.13,NA,1988,26.6
"178",178,"Q1",100012136,1988-09-06,0.69,120,2.76,3.9,15,1988,34.25
"179",179,"Q2",100013131,1988-09-06,0.7,216,2.64,5.12,NA,1988,14.75
"180",180,"Q3",100014127,1988-09-06,0.71,168,2.86,3.69,NA,1988,35.6
"181",181,"Q1",100012137,1988-09-13,0.79,192,1.53,0.7,NA,1988,37.2
"182",182,"Q2",100013132,1988-09-13,0.73,240,2.29,4.25,NA,1988,26.25
"183",183,"Q3",100014128,1988-09-13,0.52,138,2.03,2.77,8,1988,42.2
"184",184,"Q1",100012138,1988-09-20,0.75,150,2.64,3.75,47,1988,43.2
"185",185,"Q2",100013133,1988-09-20,0.75,227,2.54,4.73,NA,1988,38
"186",186,"Q3",100014129,1988-09-20,0.59,130,2.49,3.59,NA,1988,38.2
"187",187,"Q1",100012139,1988-09-27,0.71,149,2.66,4.21,NA,1988,43.2
"188",188,"Q2",100013134,1988-09-27,0.68,246,2.63,4.78,17,1988,47
"189",189,"Q3",100014130,1988-09-27,0.64,127,2.82,3.25,NA,1988,41.75
"190",190,"Q1",100012140,1988-10-04,0.73,43,2.09,3.05,59,1988,43.2
"191",191,"Q2",100013135,1988-10-04,0.72,9,2.13,3.91,NA,1988,47
"192",192,"Q3",100014131,1988-10-04,0.55,NA,1.98,2.69,64,1988,41.75
"193",193,"Q1",100012141,1988-10-11,0.75,151,2.58,5.02,49,1988,50.25
"194",194,"Q2",100013136,1988-10-11,0.78,240,NA,NA,63,1988,47
"195",195,"Q3",100014132,1988-10-11,0.6,187,2.71,3.17,38,1988,41.75
"196",196,"Q1",100012142,1988-10-18,NA,154,NA,NA,46,1988,50.25
"197",197,"Q2",100013137,1988-10-18,NA,235,NA,NA,61,1988,47
"198",198,"Q3",100014133,1988-10-18,NA,205,NA,NA,57,1988,53
"199",199,"Q1",1036,1988-10-25,0.88,146,2.56,3.97,NA,1988,51.3333333333333
